scm_name,repo_name,default_branch,hr_info,is_production,jfrog_ci_status,jfrog_cd_status,deployed_artifacts,sonar_ci_status,sonar_is_scanned,critical_dependencies_vuln,high_dependencies_vuln,code_secrets,code_critical_vulnerabilities,enforcement_on_artifact_push,enforcement_on_critical_sast,sbom_created_per_artifact,sbom_kept_indefinitely
bitbucket_server,asset-statistics,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,asset-validation,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/asset-validation:2db3fded836e2a710bd058820a1b7ca2850085aa""]",FALSE,Unhandled Yet,5,17,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,assets-api,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,assets-discovery,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/assets-discovery:07c5f01639036eea18dbb92a5a49e9159f19dd27"", ""docker://staging/assets-discovery:bb317f2c7fccec6bdee819463ab33a1950935b4f""]",FALSE,Unhandled Yet,6,23,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,assets-enrichment,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/assets-enrichment:cbf5ed3900e973d3ba3c9ebe15564b7c551bdc42""]",FALSE,Unhandled Yet,6,18,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,assets-loader,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/assets-loader:40854f0126c2592b1fc62a6b7e180292db33c31f"", ""docker://staging/assets-loader:57065336165c834692de313f1b5ab2037a8c19b2""]",FALSE,Unhandled Yet,6,21,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,assets-scan-manager,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/assets-scan-manager:3c80d81bffd3fc648b733278fada581ba9c9abd8""]",FALSE,Unhandled Yet,5,15,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,audit-log-service,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,Auto-Path-AI,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,Automated Takedown UI,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,automatic-alert-generator,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://prod/automatic-alert-generator:de6e898fb0389b907540f242bb5188cab5af19fe"", ""docker://prod/automatic-alert-generator:latest"", ""docker://staging/automatic-alert-generator:de6e898fb0389b907540f242bb5188cab5af19fe"", ""docker://staging/automatic-alert-generator:e10e2b21c213d1a74d93778677a5ef6cc7bdfef8"", ""docker://staging/automatic-alert-generator:efbda0f77a4e86dea731f1480f901975e83a1fed""]",TRUE,Unhandled Yet,9,35,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,automatic-alerts-research,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/automatic-alerts-research:3f9d9985465b140a8e947e7b2232a1a62aeef4e1"", ""docker://staging/automatic-alerts-research:cae82fd1efc93f3c2760b13e6d2f0a3835260b24""]",FALSE,Unhandled Yet,5,20,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,automatic-labeling,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,automatic-look-alike-domain-event-preparer,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
